CODCLI,CODPROD,EAN,PRODUTO,ESPECIE,PORTE,IDADE,DEPARTAMENTO,DT_VENDA,QT_VENDA
266676,261593,7908320400094,"RAÇÃO SECA HERCOSUL BIOFRESH PARA CÃES ADULTOS RAÇAS PEQUENAS E MINIS MIX DE CARNES, FRUTAS, LEGUMES E ERVAS 1KG",CÃES,PEQUENO,ADULTO,ALIMENTOS,00:00.0,1
313380,10184,4010184001027,RAÇÃO SECA DOG EXCELLENCE CÃES RM AD CORDEIRO 1KG GRANEL,CÃES,MÉDIO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,2
317578,5361,4005361001020,RAÇÃO SECA DOG EXCELLENCE CÃES RM AD FRANGO 1KG GRANEL,CÃES,MÉDIO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
313380,5361,4005361001020,RAÇÃO SECA DOG EXCELLENCE CÃES RM AD FRANGO 1KG GRANEL,CÃES,MÉDIO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
1,9982,4009982001025,RAÇÃO SECA DOG EXCELLENCE CÃES RM FILHOTE 1KG GRANEL,CÃES,MÉDIO,FILHOTE,ALIMENTOS,00:00.0,1
12076,10852,4010852001021,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD CORDEIRO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
306802,10852,4010852001021,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD CORDEIRO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
59414,10852,4010852001021,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD CORDEIRO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
1,9452,4009452001029,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD FRANGO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
24899,2301,4002301001027,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD SALMÃO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
24899,2301,4002301001027,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD SALMÃO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
